"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,97810,"94608","CA","San Francisco","Alameda","Oakland",1634,664800,-0.00493938033228559,-0.00835322195704057,0.0499052432090966,0.175258125822458,0.0297242332460461,"2017-03","2017-Q1",671000,-0.00923994038748137,"2017-01"
2017-05-31,61071,"08360","NJ","Vineland","Cumberland","Vineland",1635,147500,0.0109664153529815,0.0264439805149617,0.0278745644599303,0.00748731897619415,-0.0153064005443441,"2007-01","2007-Q1",176200,-0.162883087400681,"2005-07"
2017-05-31,62533,"12401","NY","Kingston","Ulster","Kingston",1636,159500,0.0178685386088066,0.0493421052631579,0.0676037483266399,0.0131692911432668,-0.0221285227234207,"2006-09","2006-Q3",202800,-0.213510848126233,"2004-06"
2017-05-31,89567,"72450","AR","Paragould","Greene","Paragould",1637,115300,0.00698689956331878,0.0158590308370044,0.0276292335115865,0.0489352775631859,0.0299928310566109,"2017-05","2017-Q2",115300,0,"2017-05"
2017-05-31,84345,"60090","IL","Chicago","Cook","Wheeling",1638,176700,0.00511945392491468,0.00856164383561644,0.0178571428571429,0.0746194445454849,-0.0318356453294536,"2007-01","2007-Q1",249500,-0.291783567134269,"2002-01"
2017-05-31,96504,"91764","CA","Riverside","San Bernardino","Ontario",1639,371400,0.00432666306111412,0.0192096597145993,0.0758980301274623,0.120897478396482,-0.0053836748852274,"2006-07","2006-Q3",408800,-0.0914872798434442,"2005-10"
2017-05-31,88443,"70056","LA","New Orleans","Jefferson","Gretna",1640,156800,0.00448430493273543,0.00900900900900901,0.0821256038647343,0.0377203382144367,0.0111808558094637,"2017-05","2017-Q2",156800,0,"2017-05"
2017-05-31,66632,"20785","MD","Washington","Prince Georges","Greater Landover",1641,214700,-0.00232342007434944,-0.00693802035152636,0.0794369029663147,0.0995250224239892,-0.0197881788517875,"2007-06","2007-Q2",262900,-0.183339672879422,"2005-10"
2017-05-31,98415,"95762","CA","Sacramento","El Dorado","El Dorado Hills",1642,600400,0.0025045917515445,0.00805910006715917,0.0861070911722142,0.0838586877652261,-0.00243216931486945,"2005-12","2005-Q4",657100,-0.0862882361893167,"2005-04"
2017-05-31,90741,"75165","TX","Dallas-Fort Worth","Ellis","Waxahachie",1643,172800,0.0075801749271137,0.0218805440567711,0.104153354632588,0.0749380851364461,0.0287897867250446,"2017-05","2017-Q2",172800,0,"2017-05"
